Startup,Website
Beco,https://www.letsbeco.com
Exponent Energy,https://www.exponent.energy
Charzer,https://www.charzer.com
Batx Energies,https://batxenergies.com
Clean Electric,https://www.cleanelectric.in
Living Things,https://livingthings.ai
RACEnergy,https://race.energy
AgriCapita Innotech,https://www.agricapita.com
Aerostrovilos Energy,https://www.aerostrovilos.com
Kamal Kisan (Simple Farms),http://kamalkisan.com
Cropway,https://www.cropway.com
Stellapps,https://www.stellapps.com
Veggie Champ,https://www.veggiechamp.in
Krishitantra,https://krishitantra.com
Polycyl,https://polycycl.com
Lithion Power,https://lithionpower.com
TGP Bioplastics,https://www.tgpbio.com
Vezlay,https://vezlay.com
Log9 Materials,https://www.log9materials.com
ProPlant,
EVage Motors,https://www.evagemotors.com
Craste,https://craste.co
Mister Veg,https://www.misterveg.com
1010 Solutions (Liquid Trees),https://liquidtrees.org
Kinetic Green,https://kineticgreen.com
GreenPod Labs,https://greenpodlabs.com
Naka Foods,https://4pmbar.com
Evera,https://www.everacabs.com
Serentica Renewables,https://www.serenticaglobal.com
Electra EV,https://electraev.com
White Cub,https://whitecub.in
Slicc,https://slicc.in
Cell Propulsion,https://cellpropulsion.com
Dog First,
Electrifi Mobility,https://electrifimobility.com
Nate's Indian Bistro,http://www.adf-foods.com
Ai-Genix,https://www.ai-genix.net
Kabira Mobility,https://www.kabiramobility.com
Voltanova,
Terramatter,https://terramatter.earth
MealTech,https://mealtech.in
Oizom,https://oizom.com
Euler Motors,https://www.eulermotors.com
Kazam,https://www.kazam.in
CanvaLoop,https://www.canvaloop.com
climateXcapital,https://www.climatexcapital.com
Apeiro Energy,https://apeiroenergy.com
Base'P Sustainable Foods,https://basepfoods.com
Aerem,https://www.aerem.co
Cropin,https://www.cropin.com
Loopworm,https://loopworm.in
Skymet Weather,https://www.skymetweather.com
Myoworks,https://www.myoworks.in
GreenJoules,https://www.greenjoules.in
Neat Meatt Biotech,https://neatmeatt.in
Mooving,https://www.mooving.com
Clear Meat,https://www.clearmeat.com
Proeon,https://proeon.co
Air OK Technologies,http://airoktech.com
Takachar,https://takachar.com
Prot (formerly Seaspire),https://eatprot.com
Cocoabuzzz,
XMACHINES,https://www.xmachines.ai
Oatey,https://oatey.in
Animall,https://animall.in
SolarSquare Energy,https://www.solarsquare.in
Statiq,https://www.statiq.in
Supplant Foods,https://www.supplantfoods.com
Laurus Bio,https://laurus.bio
InnoNano Research,http://rtbi.in
Detect Technologies,http://www.detecttechnologies.com
Ecozen,https://www.ecozensolutions.com
MyPlan8,https://myplan8.earth
Demolish Foods,http://demolishfoods.com
Hycosys,https://www.hycosys.in
AGEYE,http://www.ageyetech.com
Clairco,https://www.clairco.in
ZASTI India,https://www.zasti.ai
Funny Nani (Nayamylk),https://www.funnynani.com
Jivoule Biofuels,https://www.jivoule.com
Strive,https://www.strive.store
GalaxEye Space,https://www.galaxeye.space
Ishitva Robotic Systems,https://www.ishitva.in
Sentra World,https://sentra.world
Piatrika Biosystems,https://piatrika.com
Imagine Meats,https://www.imaginemeats.com
Briyas,http://briyas.com
Blue Tribe,https://www.bluetribefoods.com
Plantelo,https://www.plantelo.in
Evo Foods,https://evofoods.in
Live Yum,
Varaha,https://www.varaha.earth
Solar Ladder,https://www.solarladder.com
FarMart,https://www.farmart.co
Superplum,https://www.superplum.com
Piperleaf,https://www.piperleaf.in
Nutrifresh,https://nutrifresh.co.in
Pfood4Kids,https://www.nutriquofoods.com
Kheyti,https://www.kheyti.com
Esmito Solutions,https://esmito.co.in
Climes,https://www.climes.io
Hrimtron Energy Systems,https://www.hrimtronenergy.com
Yulu,https://www.yulu.bike
String Bio,https://www.stringbio.com
qZense Labs,https://www.qzense.com
TekUncorked,https://www.tekuncorked.com
GreenCell Mobility,https://greencellmobility.com
Bambrew,https://www.bambrew.in
altM,https://www.altm.bio
Vioma Motors,https://viomamotors.com
Oats'Up,https://www.oatsup.in
Infiction Labs,https://www.infictionlabs.com
Green Ecstasy Foods,http://veganta.in
CHUK,https://chuk.in
Mighty Food,https://themightyfood.com
SYS3E Technologies,https://www.sys3e.com
Turno,https://www.turno.club
Free Spirits Green Labs,https://freespirits.in
Hygenco,https://www.hygenco.in
Harvested Robotics,https://www.harvestedlabs.com
Bijak,https://bijak.in
Ola Electric,https://www.olaelectric.com
AXIA Foods,https://axiafood.com
Terra Bioware,https://www.terrabioware.co
Plant Veda,https://www.plantveda.com
Entuple Mobility,https://www.entuplemobility.com
AyeKart,https://ayekart.com
Pixxel,https://www.pixxel.space
Katharos,http://www.katharosfoods.com
Fermbox,https://fermbox.bio
BVeg Foods,https://www.bvegfoods.com
RecommerceX,https://recommercex.com
Progo Foods,https://www.progofoods.com
Sea6 Energy,https://www.sea6energy.com
OatMlk,https://www.oatmlk.in
Eat with Better (Chateau Vert Pvt. Ltd.),https://eatwithbetter.com
Sproutiens,https://sprouteins.com
Binbag,https://www.binbag.in
Sheru,https://sheru.se
AgNext,https://agnext.com
Oben Electric,https://obenelectric.com
FaunaTech,https://www.faunatechsolutions.com
MoEVing,https://moeving.com
Simple Energy,https://www.simpleenergy.in
Aqin Biotech,https://aqin.in
MilkinOats,https://milkinoats.com
FemtoFarad,https://www.femtofarad.com
XYMA Analytics,https://www.xyma.in
Hacklab Solutions,https://www.hacklab.solutions
SunFuel Electric,https://www.sunfuelelectric.com
Poshn,https://poshn.co
Agromatic Nutrifoods,https://agromaticfoods.com
BGauss,https://www.bgauss.com
Greenest Foods,https://greenestfoods.com
oorja,https://oorja.energy
Tata Simply Better,https://www.tataconsumer.com
Alt Foods,https://altfoods.in
PURE EV,https://www.pureev.in
Skyware,https://www.skyware.in
AgriFi.AI,https://agrifi.ai
Carragreen,https://carragreen.com
Alt Co.,https://alt.company
Chakr Innovation,https://chakr.in
Navitas Solar,https://navitassolar.in
Fasal,https://fasal.co
Battery Smart,https://www.batterysmart.in
Novel Foods,
Strawcture Eco,https://strawcture.com
CarbonCraft,https://www.carboncraftdesign.com
Devigere Biosolutions,https://devigerebiosolutions.in
CercleX,https://cerclex.com
Sain,https://www.sainworld.com
Banyan Nation,https://www.banyannation.com
Dharaksha Ecosolutions,https://www.dharaksha.com
Biokraft Foods,https://www.biokraftfoods.com
Flowtrik Technologies,https://flowtrik.com
Creatara Mobility,https://creatara.com
1Ness Foods,https://1ness.in
Zero Cow Factory,https://zerocowfactory.com
EdgeGrid,https://www.edgegrid.com
Retü Foods,https://www.retufoods.com
Devic Earth,https://www.devic-earth.com
Altein,
Godi Energy,https://www.godienergy.com
Brown Foods - Unreal milk,https://unrealmilk.com
Intello Labs,https://www.intellolabs.com
ProMyce,https://www.linkedin.com
MFP Foods,https://www.mfpindia.in
Grinntech,https://www.grinntech.com
Sudo Foods,https://sudofoods.com
KisanKonnect,https://www.kisankonnect.in
UrbanKisaan,https://www.urbankisaan.com
Arya.ag,https://www.arya.ag
EyeROV,https://www.eyerov.com
Ultraviolette,https://www.ultraviolette.com
Vegan Heat,
Vegh,https://www.thevegh.com
A2P Energy Solution,https://www.a2penergy.com
Cleen.pet,https://sites.google.com
River,https://www.rideriver.com
Anuvi Food Sciences,
PolyCycl,https://www.polycycl.com
MinionLabs,http://www.minionlabs.tech
Wakao Foods,https://wakaofoods.com
BillionElectric,http://www.billionmobility.com
Vegan Bites - nomou,https://nomou.in
Freyr Energy,https://freyrenergy.com
Fibmold,https://fibmold.com
Shaka Harry,https://www.shakaharry.com
Oatish Oat Milk (Dancing Cow),https://dancingcow.in
Loop Charging Module (LCM),https://lcmloopchargingmod.wixsite.com
Cygni,https://www.cygni.com
Agrim,https://agrim.app
Imposter Meat,https://impostermeat.com
BillionCarbon,https://www.billioncarbon.com
Navalt,https://navaltboats.com
OhVeg,http://www.ohveg.in
Fresh and Safe,http://www.freshnsafe.in
AltMat,https://altmat.in
Carbon Masters,http://carbonmasters.co.uk
NatureDots,https://www.naturedots.com
Angirus,https://www.angirusind.com
Protainable Smart Foods,
BioPrime AgriSolutions,http://www.bioprimeagri.com
Recykal,https://recykal.com
Evolved Foods,https://www.evolvedfoods.in
PFC Foods,https://pfcfoods.in
Zerocircle,https://www.zerocircle.in
Corrit Electric,https://www.corritelectric.com
Freshwoof,https://freshwoof.com
Innovative Nutrition Solutions,https://www.nutriquofoods.com
Baaz Bikes,https://www.baaz.bike
Ambee,https://www.getambee.com
GoodMylk,https://goodmylk.in
SatSure,https://www.satsure.co
Praan,https://praan.io
Climeto,https://climeto.com
Niqo Robotics,https://niqorobotics.com
EMO Energy,https://www.emoenergy.in
Bombay Cheese Company,https://bombaycheesecompany.com
Smart Joules,https://smartjoules.co.in
AquaConnect,https://aquaconnect.blue
Loom Solar,https://www.loomsolar.com
Blue Planet Environmental Solutions,https://blueplanet.asia
BluSmart Mobility,https://blu-smart.com
NEXTera Foods,https://www.linkedin.com
PlantMade,https://www.plantmade.in
ChargeUp,https://echargeup.com
OffGrid,https://getoffgrid.energy
Scimplify,https://www.scimplify.com
EMotorad,https://www.emotorad.com
Matter,https://www.matter.in
Soilsens,https://www.soilsens.com
Novolutions Food (Just Dig In),http://www.justdigin.in
LOHUM,https://www.lohum.com
Zyngo EV,https://zyngo.co.in
FreshBus,https://www.freshbus.com
Agrizy,https://agrizy.in
GoodDOT,https://gooddot.in
Ossus Biorenewables,https://www.ossusbio.com
Indi Energy,https://indienergy.in
DeHaat,https://agrevolution.in
So Good,https://lifehealthfoods.co.in
Vayujal Technologies,https://www.vayujal.com
Ecoprotein,https://ecoprotein.godaddysites.com
Tan90 Thermal Solutions,https://tan90thermal.com
goEgo,https://www.goegonetwork.com
Fyn,https://www.fynmobility.com
Sustein,
Only Earth,https://myonlyearth.com
ElectricPe,https://electricpe.com
Rethink Bio,https://www.rethinkbio.in
Zypp Electric,https://zypp.app
Maximl Labs,https://maximl.com
IgrenEnergi,https://igrenenergi.com
ProMeat,https://www.promeat.in
Living Greens Organics,https://thelivinggreens.com
IndiMyco,
Eeki Foods,https://eeki.com
Grabenord,https://grabenord.com
Fyllo,https://fyllo.in
Bounce Infinity,https://bounceinfinity.com
Plantish Foods,http://www.plantishfoods.com
Soft Spot Foods,https://softspotfoods.com
Bolt.Earth,https://bolt.earth
KleverMeat,https://klevermeat.com
Sirohi,http://www.sirohi.org
Phyx44,https://www.phyx44.com
Magenta Mobility,https://www.magentamobility.com
Impacto.eco,https://impacto.eco
Ather Energy,https://www.atherenergy.com
Aereo,https://aereo.io
Alt Mobility,https://www.alt-mobility.com
Newtrace,https://www.newtrace.io
Neuron Energy,https://www.neuronenergy.in
Fabheads Automation,https://www.fabheads.in
The Green Meat (Greenovative Foods),https://www.thegreenmeat.com
Paterson Energy,https://www.patersonenergy.com
Prozeal Green Energy,https://www.prozealgreen.com
Boon,https://helloboon.com
climateXcapital,https://www.climatexcapital.com
CHARGE+ZONE,https://www.chargezone.co.in
Everest Fleet,https://everestfleet.com
Metastable Materials,https://www.metastable.in
oorja,https://oorja.energy
Atomberg Technology,https://atomberg.com
Rewild Bio,
Dump In Bin,https://www.dumpinbin.com
Susstains Engineering Solutions,https://www.susstains.com
NBC Framework,https://www.nbcframework.io
Progen Foods Private Limited,
ECKlien4Ras,https://ecklien4ras.com
Scion Algae,
Zero Earth Company,https://zeroearth.company
KriSHE Carbon,
Ocean Vital Aquatics,
Uncompromised,https://uncompromised.in
Terracusto,
Biome / Build,https://biome.build
Maini Renewables,https://www.mainirenewables.com
IGoWise,https://www.igowise.com
MyPickup,https://mypickup.in
VSRI Energy Solutions,https://www.vsrienergy.com
deMITasse Energies,http://demitasse.tech
Visarj Systems,https://visarj.in
Hydrium Energy,https://hydriumenergy.com
E-Samarp Technologies,https://www.esamarp.com
BES Private Limited,https://www.bhaskaraengg.com
Watthour24,
Shakti Photon Solutions Private Limited,https://www.shaktiphotonsolutions.com
Evate,https://evatetech.com
Resilience,
Warar Energy Pvt Ltd,https://wararenergy.com
BioSky Technologies,https://biosky.tech
Energy Flow,
Aatral ESP,https://www.aatral-esp.com
iAC,http://smdp.in
Tamira Bot,https://tamirabot.com
Wankel Energy Systems,https://wankel.in
Hivericks Technology,https://www.hivericks.com
H-BAR OMEGA,https://hbaromega.com
SiriNor,https://www.sirinor.com
Vayve Mobility,https://www.evayve.com
Ambiator,https://www.ambiator.com
VASSMAAN QUILL,https://www.quilltechno.com
RF Power,
Austhraa Motors,https://austhraa.com
280Carbon,https://www.280carbon.com
NorthStar Impact Solution,https://www.northstarimpactsolution.com
Bacuti,https://www.bacuticorp.com
Hypersonic Technologies Pvt Ltd,https://hypersonics.in
RangBio,https://www.rangbio.com
EnergyETA,https://www.energyeta.ai
BlackRhino,http://www.blackrhinoz.com
Diffuson Coatech,https://www.diffuson.in
Carbon Compete,https://carboncompete.com
MetroRide Kids,https://kids.metroride.com
VAPAC,https://www.vapac.in
Scrapify Ecotech Pvt. Ltd,https://scrapifyecotech.in
GreenJams,https://greenjams.org
Kaashyap,https://kaashyapenvergy.com
Thaal Innovations,https://thaalinnovations.com
Earthworks Biomat,https://www.earthworks.bio
Li Circle,https://www.licircle.com
Eunoia Innovations Private Limited,https://eunoiainnovations.in
Almericus,https://www.almericus.in
ASMI Innovations,
NST Hitech Recycling,https://www.nstscrap.com
Mati Carbon,https://www.mati.earth
MittiLabs,https://www.mittilabs.earth
Greenie Energy,https://greenie-energy.com
Vcrave Foods,https://www.vcravefoods.com
BioFizz,https://biofizzag.com
Vyoum Biotech,https://vyoumbiotech.com
Fambo,https://fambo.in
PlentiFarms,https://www.plentifarms.com
Ingress Biosolutions,https://ingressbio.com
Agriwyz,http://www.agriwyz.com
Vedic Biochar,https://www.earthanalyticalab.com
Agaram Biotech,https://www.agarambiotech.in
AgroKisan,https://www.agrokisan.com
Greengine Environmental Technologies,https://www.greengine.co.in
GPS Renewables,https://www.gpsrenewables.com
Chloropod,https://www.chloropod.com
BacAlt,https://bacalt.bio
Destiny CropCare,https://www.destinycropcare.in
BuyMyEV,https://www.buymyev.in
TraceX,https://tracextech.com
Earthtech,
Prithu Earth,https://prithu.earth
Terra Crop Science,
Innocule,https://www.innocule.com
RenewCred,https://www.renewcred.com
General Aeronautics,https://generalaeronautics.com
Albatross Energetics,https://www.albatross-energetics.in
Gati Drives,https://gatidrives.com
Thooshan,https://thooshan.com
Baud Resources,https://www.baudresources.com
Agroxa Bio Innovations,https://agroxa.in
Hydrovert Energy,https://hydrovert.in
Nexus Power,https://www.nexuspower.in
Shivchhaya Bio-Tech,https://shivchhayabiotech.com
Proleri,https://proleri.com
Cancrie,https://www.cancrie.co
Neoperk,https://neoperk.co
Thermistance,https://www.thermistance.com
Mini Mines,https://m-mines.com
Ecoterra Biodesign,https://ecoterrabiodesign.com
Zewa Ecosystems,https://zewafeeds.com
BetterCar,https://bettercar.vercel.app
Cellarim Labs,https://www.cellarim.com
BiOM FARMS,https://biomfarms.com
PMI Electro Mobility,https://www.pmielectro.com
VidyutTech,https://www.vidyuttech.in
Cargofirst,https://cargofirst.net
Plantables,https://plantables.store
Refillable,https://www.refillable.store
Bioorgo,https://bioorgo.com
DeyHaat,https://deyhaat.com
Oorja Development Solutions,https://oorjasolutions.org
rePurpose Global,https://repurpose.global
WayCool Foods,https://waycool.in
Reckon Green Innovations,https://reckongreen.com
Cupable,https://cupable.in
Deepfleet,https://deepfleet.com
Grow Indigo,https://www.growindigo.co.in
Oceanlux,https://oceanlux.in
Boomitra,https://boomitra.com
Switch Climate Tech,https://switchclimatetech.com
Fuselage Innovations,https://fuselage.co.in
Qudrat,https://qudrat.co.in
LivNSense,https://livnsense.com
SenseGrass,https://sensegrass.com
Nunam,https://nunam.com
ConserveCap Climate Tech,https://www.conservecap.com
AgroStar,https://www.corporate.agrostar.in
S4S Technologies,https://s4stechnologies.com
Attero,https://www.attero.in
Recyclekaro,https://www.recyclekaro.com
Saahas Zero Waste,https://saahaszerowaste.com
Openwater.in,https://openwater.in
Studio Macrocosm,https://studiomacrocosm.com
Gencrest,https://www.gencrest.com
Wastelink,https://wastelink.co
GreenGrahi,https://www.greengrahi.com
Metafin,https://www.metafin.in
CarbonMinus,https://carbonminus.com
CoolAnt,https://www.coolant.co
ReMaterials,https://www.modroof.in
ReNew,https://www.renew.com
High Time Foods,https://www.hightimefoods.com
Minus Degre,https://www.minusdegre.com
EKA,https://ekamobility.com
SatLeo Labs,https://www.satleolabs.com
BrightBlu,https://www.brightblu.com
Kawa Space,https://www.kawa.space
Stride Green,https://stridegreen.in
Vimano,https://www.vimano.biz
Pehle Jaisa,https://www.pehlejaisa.com
Sthyr Energy,https://www.sthyrenergy.com
Sistema.bio,http://www.sistema.bio
Prozeal Green Energy Limited,http://www.prozealgreen.com
Sunsure Energy,http://www.sunsure-energy.com
Freyr Energy Services Pvt Ltd,http://www.freyrenergy.com
CleanMax,http://www.cleanmax.com
Jakson Green,http://www.jakson-green.com
Oorja Development Solutions Limited,http://www.oorjasolutions.org
Aerem,http://www.aerem.co
Ecozen,http://www.ecozensolutions.com
Punjab Renewable Energy Systems Private Limited,http://www.prespl.com
Skymet,http://www.skymetweather.com
Varaha,http://www.varaha.earth
Smart Joules,http://www.smartjoules.co.in
ZENITH ENERGY,http://www.zenithenergy.com
NEPRA - Let's Recycle,http://www.letsrecycle.in
Zigma Global Environ Solutions Pvt. Ltd. (Part of the Blueplanet group),http://www.zigma.in
UEM INDIA PVT LTD,http://www.uemgroup.com
Radiance Renewables I Promoted by Eversource Capital,http://www.radiancerenewables.com
Central Ground Water Board,http://www.cgwb.gov.in
REnergy Dynamics,http://www.renergydynamics.com
Serentica,http://www.serenticaglobal.com
Apollo Green Energy Limited,http://www.apollo-greenenergy.com
Mitarsh Energy Pvt Ltd,http://www.mitarsh.com
POWERCON,http://www.powercon.in
Ujaas Energy Limited,http://www.ujaas.com
East India Udyog Ltd. (Udyat),http://www.udyat.com
EPACK Petrochem Solutions,http://www.ewaarenewable.com
The Sustainability Practitioners,http://www.thesustainabilitypractitioners.com
Waaree Renewable Technologies Ltd,http://www.waareertl.com
Mytrah Energy,http://www.mytrah.com
O2 Power,http://www.o2power.in
Net Zero Pro,http://www.netzeropro.ai
Desire Energy Solutions Pvt. Ltd.,http://www.desireenergy.com
Swayambhu Innovative Solutions Pvt Ltd,http://www.swayambhuinfo.com
EXACT SUN INDIA PVT. LTD.,http://www.exactsunindia.com
AMPIN Energy Transition,http://www.ampin.energy
CSPL,http://www.centurysolar.org
Solarium Green Energy Limited,http://www.solariumenergy.in
Premier Irrigation Adritec Private Limited,http://www.pial.in
Everrenew,http://www.everrenew.com
Ecoren Energy,http://www.ecorenenergy.com
Onix Renewable,http://www.onixrenewable.com
Websol Energy System Limited,http://www.webelsolar.com
ReNew,http://www.renew.com
PremiumCAD,http://www.premiumcad.com
Fourth Partner Energy,http://www.fourthpartner.co
Enrich Energy Pvt. Ltd.,http://www.enrichenergy.com
Gujarat Urja Vikas Nigam Ltd. (GUVNL),http://www.guvnl.com
Switching AVO Electro Power Ltd,http://www.switchingavo.com
Enva Plax Private Limited,http://www.envaplax.com
Ayana Renewable Power,http://www.ayanapower.com
Gensol Engineering Limited,http://www.linkedin.com
Sustain and Save Pvt. Ltd.,http://www.sustainandsave.com
Juniper Green Energy,http://www.junipergreenenergy.com
Pointo,http://www.pointo.in
Renom Energy Services Private Limited,http://www.renom.in
Amplus Solar,http://www.amplussolar.com
Adhunik,http://www.adhunikev.com
Mahindra Susten,http://www.mahindrasusten.com
NSL Renewable Power Private Limited,http://www.nslpower.com
Azure Power,http://www.azurepower.com
Claro Energy,http://www.claroenergy.in
Fenice Energy,http://www.feniceenergy.com
Urano Energy Corp,http://www.uranoenergy.com
RAYZON SOLAR PVT. LTD.,http://www.rayzonsolar.com
Mahindra Teqo,http://www.mahindrateqo.com
Param Renewable Energy,http://www.paramrenewable.com
KP Group,http://www.kpgroup.co
EarthFokus,http://www.earthfokus.com
OMC Power,http://www.omcpower.com
StepChange,http://www.stepchange.earth
Sort India Enviro Solutions Limited,http://www.pastiwala.com
Phool.co,http://www.phool.co
Emergent Ventures India,http://www.emergent-ventures.com
Pi Green Innovations Pvt. Ltd.,http://www.pigreeninnovations.com
Solar Ladder,http://www.solarladder.com
The Kabadiwala,http://www.thekabadiwala.com
Uravu Labs,http://www.uravulabs.com
Devic Earth,http://www.devic-earth.com
TheSustainabilityCloud,http://www.thesustainabilitycloud.com
WeVOIS Labs Pvt. Ltd.,http://www.wevois.com
Nandi Resources Generation Technology Pvt Ltd,http://www.nrgindia.com
Harsun Solar,http://www.harsun.co.in
SolarXperts,http://www.linkedin.com
SUNTRANSPO,http://www.suntranspo.com
Stellar Grid Solar Power Solutions,http://www.stellargrid.in
Abhay Enterprises,http://www.linkedin.com
Acclaim Technology Services,http://www.acclaimcleanenergy.com
Greywater Action,http://www.greywateraction.org
Apki Agarbatti,http://www.linkedin.com
Ikya Innovation,http://www.ikyainnovation.com
kpowers solar,http://www.kpowers.co.in
Shivshakti Solar,http://www.linkedin.com
Shlok Fusion Industries Pvt. Ltd.,http://www.shlokfusionindustries.com
Qynext Solar Energy Pvt. Ltd.,http://www.qynextsolar.com
Conservation Initiative for Art and Cultural Heritage,http://www.ciach.in
NetZero Energiez,http://www.netzeroenergiez.com
Titanis Energy India Pvt Ltd,http://www.titanisenergy.com
SMA Solar India,http://www.sma-india.com
BookMySolar,http://www.bookmysolar.in
Exulted India,http://www.exultedindia.com
Mathi Renewable Solutions,http://www.mathigroup.com
Sushma Enterprises,http://www.sushmaenterprises.in
Vikas Renewable Energy Pvt Ltd,http://www.vikasrenewable.com
KALSI SOLAR LIGHTS,http://www.kalsisolar.com
Chaitan Solar Developers,http://www.linkedin.com
ackerlandenergy,http://www.ackerlandenergy.com
NetZero Energiez,http://www.netzeroenergiez.com
Solar India Inc.,http://www.linkedin.com
AK Solar,http://www.linkedin.com
Solarsutra,http://www.solarsutra.com
Genesis Cluster,http://www.genesiscluster.com
Powermatic Solar,http://www.linkedin.com
Aigon Mechatronics Pvt Ltd,http://www.aigon.in
HyOn Energy,http://www.hyonenergy.com
Just Energy India,http://www.linkedin.com
Jarka Radiance Renewable systems private limited,http://www.jarkarenewables.com
InForce Solar,http://www.inforcesolar.com
Oaksun Energy,http://www.oaksun.in
Techsowth Electrical Infra,http://www.linkedin.com
SolarXperts,http://www.linkedin.com
Nandi Resources Generation Technology Pvt Ltd,http://www.nrgindia.com
Harsun Solar,http://www.harsun.co.in
Abhay Enterprises,http://www.linkedin.com
Acclaim Technology Services,http://www.acclaimcleanenergy.com
TShell Motors,https://tshellmotors.com
Metro Ride,https://metroride.in
Gigforce,https://gigforce.in
GogoBus,https://www.gogobus.com
Exponent Energy,https://www.exponent.energy
Grassroots Energy,https://www.grassrootsenergy.co
Ashnni Drive,https://ashnni.com
Ashni Tech,https://www.ashni.tech
EV Plugs,https://evplugs.co.in
Tilt Bike,https://www.tilt.bike
Alt Mobility,https://www.alt-mobility.com
Planet Electric,https://planetelectric.in
Revoh Innovations,http://revoh.in
C Electric Automotive Drives,https://www.c-electricdrives.com
Sun Fuel Electric,http://www.sunfuelelectric.com
BatX,https://batxenergies.com
Moeving,https://www.moeving.com
Gomylz,https://gomylz.com
EVZEE,https://evzee.in
Vayve Mobility,https://www.evayve.com
Blooman Clean Energy (aka Blaze Power),https://bce20.co
AutoNxt Automation,https://www.autonxt.in
Mini Mines,https://m-mines.com
